method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,2,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,2,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,3,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,3,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,3,2,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,3,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,3,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,4,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,4,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,4,2,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,4,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv2,4,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,0,0,1.0,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,0,1,0.9999920725822449,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,0,2,0.9999868273735046,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,0,3,0.9999908804893494,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,0,4,0.9999924898147583,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,1,0,0.9999920725822449,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,1,1,1.0,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,1,2,0.9999954700469971,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,1,3,0.9999930262565613,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,1,4,0.9999905228614807,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,2,0,0.9999868273735046,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,2,1,0.9999954700469971,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,2,2,1.0,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,2,3,0.999991238117218,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,2,4,0.9999827146530151,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,3,0,0.9999908804893494,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,3,1,0.9999930262565613,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,3,2,0.999991238117218,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,3,3,1.0,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,3,4,0.9999763369560242,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,4,0,0.9999924898147583,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,4,1,0.9999905228614807,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,4,2,0.9999827146530151,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,4,3,0.9999763369560242,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,conv3,4,4,1.0,0.9999892115592957,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,0,0,1.0,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,0,1,0.9963462352752686,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,0,2,0.996817946434021,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,0,3,0.9959803819656372,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,0,4,0.9973825812339783,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,1,0,0.9963462352752686,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,1,1,1.0,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,1,2,0.9979389905929565,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,1,3,0.9983556866645813,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,1,4,0.997446596622467,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,2,0,0.996817946434021,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,2,1,0.9979389905929565,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,2,2,1.0,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,2,3,0.9973734021186829,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,2,4,0.9970923066139221,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,3,0,0.9959803819656372,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,3,1,0.9983556866645813,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,3,2,0.9973734021186829,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,3,3,1.0,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,3,4,0.9962360858917236,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,4,0,0.9973825812339783,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,4,1,0.997446596622467,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,4,2,0.9970923066139221,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,4,3,0.9962360858917236,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,2,fc1,4,4,1.0,0.9970971345901489,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,0,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,0,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,0,2,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,0,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,0,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,1,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,1,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,1,2,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,1,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,1,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,2,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,2,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,2,2,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,2,3,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,2,4,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,3,0,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,3,1,1.0,1.0,500
cka_feddst,cifar10,0.9,7,results/logs/cka_strength_sweep/cifar10_drift_all/strength_1p0/seed_7/splits/cifar10_split_seed7_clients5_alpha0p3_ref500.json,1.0,drift,4,conv1,3,2,1.0,1.0,500
